itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:02:20 PM",Redwood City,CA,37.48653447,-122.2285915
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:02:17 PM",Redwood City,CA,37.48651652,-122.2285371
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:02:05 PM",Redwood City,CA,37.48652846,-122.2284149
1,Broadway St,paper,Wednesday,"2/12/2020, 8:01:49 PM",Redwood City,CA,37.48651831,-122.2283171
1,Broadway St,paper,Wednesday,"2/12/2020, 8:01:48 PM",Redwood City,CA,37.48651831,-122.2283171
1,Broadway St,other,Wednesday,"2/12/2020, 8:01:44 PM",Redwood City,CA,37.48652665,-122.2283094
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:37 PM",Redwood City,CA,37.48655591,-122.2282792
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:18 PM",Redwood City,CA,37.48653328,-122.2283507
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:14 PM",Redwood City,CA,37.48654257,-122.2283437
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:11 PM",Redwood City,CA,37.48655081,-122.228346
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:06 PM",Redwood City,CA,37.48654639,-122.2283758
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:01:03 PM",Redwood City,CA,37.48654784,-122.2283468
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:00:51 PM",Redwood City,CA,37.48653897,-122.2284723
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:59:30 PM",Redwood City,CA,37.48639313,-122.2289315
1,Middlefield Rd,tobacco,Wednesday,"2/12/2020, 7:59:16 PM",Redwood City,CA,37.48638118,-122.2290776
1,Middlefield Rd,other,Wednesday,"2/12/2020, 7:58:34 PM",Redwood City,CA,37.48645836,-122.2290849
1,Middlefield Rd,tobacco,Wednesday,"2/12/2020, 7:52:22 PM",Redwood City,CA,37.48703957,-122.2291798
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:52:21 PM",Redwood City,CA,37.48654851,-122.2295687
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:52:05 PM",Redwood City,CA,37.48703957,-122.2291798
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:52:04 PM",Redwood City,CA,37.48651172,-122.2294713
